iter	Passed	Remaining
1097	112015	41010
1098	112120	40910
1099	112219	40807
1100	112319	40704
1101	112422	40602
1102	112519	40498
1103	112616	40394
1104	112723	40294
1105	112821	40191
1106	112920	40088
1107	113022	39986
1108	113120	39883
1109	113217	39779
1110	113320	39677
1111	113416	39573
1112	113514	39470
1113	113618	39368
1114	113718	39266
1115	113817	39163
1116	113921	39061
1117	114020	38958
1118	114119	38855
1119	114221	38753
1120	114319	38650
1121	114417	38547
1122	114520	38445
1123	114618	38341
1124	114716	38238
1125	114821	38137
1126	114920	38034
1127	115022	37932
1128	115124	37831
1129	115221	37727
1130	115320	37624
1131	115426	37523
1132	115522	37420
1133	115620	37316
1134	115724	37215
1135	115821	37111
1136	115918	37008
1137	116021	36906
1138	116117	36802
1139	116215	36699
1140	116319	36598
1141	116418	36495
1142	116516	36392
1143	116617	36290
1144	116715	36186
1145	116812	36083
1146	116915	35981
1147	117014	35878
1148	117113	35776
1149	117218	35675
1150	117322	35573
1151	117420	35470
1152	117526	35370
1153	117625	35267
1154	117732	35166
1155	117830	35063
1156	117933	34962
1157	118032	34859
1158	118134	34757
1159	118233	34654
1160	118330	34551
1161	118433	34449
1162	118532	34347
1163	118632	34244
1164	118733	34142
1165	118829	34038
1166	118926	33935
1167	119034	33835
1168	119132	33732
1169	119229	33628
1170	119333	33527
1171	119431	33424
1172	119530	33321
1173	119634	33220
1174	119731	33117
1175	119829	33014
1176	119930	32912
1177	120029	32809
1178	120128	32706
1179	120231	32605
1180	120328	32501
1181	120425	32398
1182	120529	32297
1183	120626	32194
1184	120723	32091
1185	120824	31989
1186	120921	31885
1187	121020	31783
1188	121120	31680
1189	121218	31578
1190	121316	31474
1191	121418	31373
1192	121516	31270
1193	121615	31167
1194	121719	31066
1195	121817	30963
1196	121915	30860
1197	122019	30759
1198	122121	30657
1199	122221	30555
1200	122322	30453
1201	122421	30350
1202	122523	30248
1203	122619	30145
1204	122718	30043
1205	122821	29941
1206	122918	29838
1207	123014	29735
1208	123121	29634
1209	123217	29531
1210	123319	29429
1211	123423	29328
1212	123520	29225
1213	123618	29122
1214	123720	29020
1215	123816	28917
1216	123917	28815
1217	124021	28714
1218	124119	28611
1219	124222	28510
1220	124324	28408
1221	124421	28305
1222	124520	28202
1223	124622	28101
1224	124719	27998
1225	124817	27895
1226	124920	27794
1227	125016	27690
1228	125114	27588
1229	125214	27486
1230	125314	27383
1231	125415	27282
1232	125520	27180
1233	125620	27078
1234	125719	26976
1235	125822	26874
1236	125921	26772
1237	126019	26669
1238	126124	26568
1239	126242	26470
1240	126346	26368
1241	126447	26266
1242	126544	26164
1243	126648	26062
1244	126747	25960
1245	126844	25857
1246	126949	25756
1247	127047	25653
1248	127146	25551
1249	127249	25449
1250	127346	25347
1251	127444	25244
1252	127547	25143
1253	127645	25040
1254	127743	24937
1255	127845	24836
1256	127941	24733
1257	128040	24631
1258	128144	24529
1259	128243	24427
1260	128344	24325
1261	128447	24223
1262	128546	24121
1263	128643	24018
1264	128745	23917
1265	128842	23814
1266	128939	23711
1267	129048	23611
1268	129145	23508
1269	129242	23406
1270	129344	23304
1271	129441	23201
1272	129538	23099
1273	129641	22997
1274	129738	22894
1275	129843	22793
1276	129944	22691
1277	130039	22589
1278	130141	22487
1279	130239	22384
1280	130336	22282
1281	130440	22180
1282	130539	22078
1283	130638	21976
1284	130740	21874
1285	130838	21772
1286	130935	21670
1287	131039	21568
1288	131137	21466
1289	131238	21364
1290	131340	21262
1291	131437	21160
1292	131537	21058
1293	131638	20956
1294	131735	20853
1295	131832	20751
1296	131932	20649
1297	132030	20547
1298	132127	20444
1299	132229	20343
1300	132326	20240
1301	132422	20137
1302	132525	20036
1303	132626	19934
1304	132725	19832
1305	132826	19730
1306	132924	19628
1307	133022	19526
1308	133124	19424
1309	133222	19322
1310	133321	19220
1311	133424	19118
1312	133521	19016
1313	133620	18914
1314	133723	18812
1315	133822	18710
1316	133919	18608
1317	134024	18507
1318	134124	18405
1319	134222	18303
1320	134326	18201
1321	134425	18099
1322	134523	17997
1323	134628	17896
1324	134727	17794
1325	134824	17691
1326	134926	17590
1327	135023	17488
1328	135119	17385
1329	135227	17284
1330	135325	17182
1331	135425	17080
1332	135527	16979
1333	135628	16877
1334	135726	16775
1335	135828	16673
1336	135940	16573
1337	136036	16470
1338	136140	16369
1339	136238	16267
1340	136340	16165
1341	136438	16063
1342	136539	15961
1343	136638	15859
1344	136739	15758
1345	136844	15656
1346	136943	15554
1347	137042	15452
1348	137145	15351
1349	137245	15249
1350	137342	15147
1351	137445	15045
1352	137543	14943
1353	137642	14841
1354	137747	14740
1355	137853	14639
1356	137981	14540
1357	138091	14439
1358	138199	14338
1359	138315	14238
1360	138433	14138
1361	138550	14038
1362	138671	13938
1363	138788	13838
1364	138912	13738
1365	139031	13638
1366	139153	13538
1367	139271	13438
1368	139391	13338
1369	139508	13238
1370	139616	13136
1371	139723	13035
1372	139826	12933
1373	139932	12832
1374	140031	12730
1375	140135	12628
1376	140245	12527
1377	140347	12425
1378	140452	12323
1379	140554	12222
1380	140658	12120
1381	140763	12018
1382	140862	11916
1383	140965	11814
1384	141064	11712
1385	141182	11612
1386	141298	11511
1387	141413	11410
1388	141532	11310
1389	141653	11209
1390	141768	11109
1391	141877	11007
1392	141992	10906
1393	142110	10806
1394	142231	10705
1395	142348	10604
1396	142468	10504
1397	142585	10403
1398	142699	10302
1399	142806	10200
1400	142908	10098
1401	143013	9996
1402	143118	9894
1403	143221	9792
1404	143323	9690
1405	143428	9589
1406	143528	9486
1407	143631	9385
1408	143730	9282
1409	143832	9180
1410	143932	9078
1411	144037	8976
1412	144140	8874
1413	144243	8772
1414	144343	8670
1415	144445	8568
1416	144542	8466
1417	144648	8364
1418	144749	8262
1419	144847	8160
1420	144954	8058
1421	145055	7956
1422	145156	7854
1423	145264	7752
1424	145363	7650
1425	145465	7548
1426	145562	7446
1427	145666	7344
1428	145763	7242
1429	145868	7140
1430	145972	7038
1431	146073	6936
1432	146177	6834
1433	146277	6732
1434	146379	6630
1435	146480	6528
1436	146585	6426
1437	146684	6324
1438	146789	6222
1439	146897	6120
1440	147011	6019
1441	147108	5916
1442	147211	5814
1443	147311	5712
1444	147417	5611
1445	147517	5508
1446	147620	5406
1447	147718	5304
1448	147820	5202
1449	147923	5100
1450	148021	4998
1451	148121	4896
1452	148219	4794
1453	148318	4692
1454	148426	4590
1455	148539	4488
1456	148661	4387
1457	148764	4285
1458	148865	4183
1459	148969	4081
1460	149068	3979
1461	149167	3877
1462	149268	3775
1463	149369	3673
1464	149470	3570
1465	149574	3468
1466	149673	3366
1467	149772	3264
1468	149878	3162
1469	149980	3060
1470	150081	2958
1471	150189	2856
1472	150291	2754
1473	150395	2652
1474	150493	2550
1475	150594	2448
1476	150691	2346
1477	150796	2244
1478	150895	2142
1479	151007	2040
1480	151112	1938
1481	151213	1836
1482	151317	1734
1483	151421	1632
1484	151531	1530
1485	151630	1428
1486	151727	1326
1487	151827	1224
1488	151925	1122
1489	152024	1020
1490	152124	918
1491	152223	816
1492	152320	714
1493	152424	612
1494	152525	510
1495	152626	408
1496	152729	306
1497	152830	204
1498	152936	102
1499	153036	0
